FBgn0051481	pb	Gene Expression
FBgn0004054	zen2	Gene Expression
FBgn0085326	CG34297	Gene Expression
FBgn0004053	zen	Gene Expression
FBgn0000166	bcd	Gene Expression
FBgn0267153	CR45593	Gene Expression
FBgn0000071	Ama	Gene Expression
FBgn0266235	CR44930	Gene Expression
FBgn0261638	CR42721	Gene Expression
FBgn0262174	mir-993	Gene Expression
FBgn0263383	CR43435	Gene Expression
FBgn0000439	Dfd	Gene Expression
FBgn0261503	CR42651	Gene Expression
FBgn0262424	mir-10	Gene Expression
FBgn0267575	CR45915	Gene Expression
FBgn0051485	tRNA:Lys-CTT-2-1Psi	Gene Expression
FBgn0026162	tRNA:Lys-TTT-2-1	Gene Expression
FBgn0261504	7SLRNA:CR42652	Gene Expression
FBgn0026163	tRNA:Lys-TTT-2-2	Gene Expression
FBgn0026164	tRNA:Lys-TTT-2-3	Gene Expression
FBgn0000003	7SLRNA:CR32864	Gene Expression
FBgn0011904	tRNA:Lys-TTT-2-4	Gene Expression
FBgn0003339	Scr	Gene Expression
FBgn0267561	CR45901	Gene Expression
FBgn0267562	CR45902	Gene Expression
FBgn0267563	CR45903	Gene Expression
FBgn0267564	CR45904	Gene Expression
FBgn0267565	CR45905	Gene Expression
FBgn0267560	CR45900	Gene Expression
FBgn0001077	ftz	Gene Expression
FBgn0266236	CR44931	Gene Expression
FBgn0267119	CR45559	Gene Expression
FBgn0266237	CR44932	Gene Expression
FBgn0260642	Antp	Gene Expression
FBgn0262897	CR43252	Gene Expression
FBgn0267559	CR45899	Gene Expression
FBgn0266238	CR44933	Gene Expression
FBgn0024289	Sodh-1	Gene Expression
FBgn0026563	CG1979	Gene Expression
FBgn0019828	dj	Gene Expression
FBgn0037463	djl	Gene Expression
FBgn0037464	CG1988	Gene Expression
FBgn0037465	CG1105	Gene Expression
FBgn0037466	CG1965	Gene Expression
FBgn0037467	Ufl1	Gene Expression
FBgn0267568	CR45908	Gene Expression
FBgn0037468	CG1943	Gene Expression
FBgn0010774	Ref1	Gene Expression
FBgn0037469	Dpck	Gene Expression
FBgn0037470	Tailor	Gene Expression
FBgn0267567	CR45907	Gene Expression
FBgn0003884	alphaTub84B	Gene Expression
FBgn0263768	CR43685	Gene Expression
FBgn0040670	e(y)2b	Gene Expression
FBgn0261238	Alh	Gene Expression
FBgn0267566	CR45906	Gene Expression
FBgn0014863	Mlp84B	Gene Expression
FBgn0037472	CG10098	Gene Expression
FBgn0037473	CG10068	Gene Expression
FBgn0262149	CR42875	Gene Expression
FBgn0051248	CG31248	Gene Expression
FBgn0051494	tRNA:Gly-TCC-1-1	Gene Expression
FBgn0051491	tRNA:Gly-TCC-1-2	Gene Expression
FBgn0051493	CG31493	Gene Expression
FBgn0037475	Fer1	Gene Expression
FBgn0261702	CR42738	Gene Expression
FBgn0037477	CG14610	Gene Expression
FBgn0037478	CG2656	Gene Expression
FBgn0250732	gfzf	Gene Expression
FBgn0011020	Sas-4	Gene Expression
FBgn0037481	MAGE	Gene Expression
FBgn0267569	CR45909	Gene Expression
FBgn0002306	sas	Gene Expression
FBgn0037482	CG10055	Gene Expression
FBgn0086372	lap	Gene Expression
FBgn0037483	CG14609	Gene Expression
FBgn0250845	CG1288	Gene Expression
FBgn0037485	CG14606	Gene Expression
FBgn0037486	CG14605	Gene Expression
FBgn0037487	thw	Gene Expression
FBgn0037488	CG14607	Gene Expression
FBgn0037489	CG1234	Gene Expression
FBgn0037490	CG10053	Gene Expression
FBgn0037491	CG1227	Gene Expression
FBgn0037492	CG10050	Gene Expression
FBgn0011282	Obp84a	Gene Expression
FBgn0001112	Gld	Gene Expression
FBgn0265426	CR44338	Gene Expression
FBgn0028400	Syt4	Gene Expression
FBgn0037493	CR10032	Gene Expression
FBgn0267337	rn	Gene Expression
FBgn0265421	CR44333	Gene Expression
FBgn0045843	RacGAP84C	Gene Expression
FBgn0260713	CG42544	Gene Expression
FBgn0265422	CR44334	Gene Expression
FBgn0267805	CR46130	Gene Expression
FBgn0037498	CG10029	Gene Expression
FBgn0283626	CR46299	Gene Expression
FBgn0267944	CR46224	Gene Expression
FBgn0265423	CG44335	Gene Expression
FBgn0265424	lncRNA:TS14	Gene Expression
FBgn0265425	CR44337	Gene Expression
FBgn0051496	CG31496	Gene Expression
FBgn0051501	nxf4	Gene Expression
FBgn0262982	CG43290	Gene Expression
FBgn0037500	CG17944	Gene Expression
FBgn0004175	Mst84Dd	Gene Expression
FBgn0004174	Mst84Dc	Gene Expression
FBgn0004173	Mst84Db	Gene Expression
FBgn0004172	Mst84Da	Gene Expression
FBgn0015770	MstProx	Gene Expression
FBgn0267120	CR45560	Gene Expression
FBgn0261502	CG42650	Gene Expression
FBgn0037501	Ir84a	Gene Expression
FBgn0283627	CR46300	Gene Expression
FBgn0037502	wa-cup	Gene Expression
FBgn0037503	CG14598	Gene Expression
FBgn0011999	tRNA:Val-CAC-2-1	Gene Expression
FBgn0263565	mir-4950	Gene Expression
FBgn0011998	tRNA:Val-CAC-2-2	Gene Expression
FBgn0266239	CR44934	Gene Expression
FBgn0012000	tRNA:Val-CAC-2-3	Gene Expression
FBgn0037504	CG1142	Gene Expression
FBgn0043853	scaRNA:MeU5-C46	Gene Expression
FBgn0065099	snRNA:7SK	Gene Expression
FBgn0012001	tRNA:Val-CAC-2-4	Gene Expression
FBgn0015569	alpha-Est10	Gene Expression
FBgn0261508	CG42656	Gene Expression
FBgn0015577	alpha-Est9	Gene Expression
FBgn0037506	Mics1	Gene Expression
FBgn0015576	alpha-Est8	Gene Expression
FBgn0017456	Ubc84D	Gene Expression
FBgn0015575	alpha-Est7	Gene Expression
FBgn0015574	alpha-Est6	Gene Expression
FBgn0027934	alpha-Est4aPsi	Gene Expression
FBgn0015831	Rtnl2	Gene Expression
FBgn0003885	alphaTub84D	Gene Expression
FBgn0261393	alpha-Est5	Gene Expression
FBgn0015572	alpha-Est4	Gene Expression
FBgn0267803	CR46128	Gene Expression
FBgn0015571	alpha-Est3	Gene Expression
FBgn0015570	alpha-Est2	Gene Expression
FBgn0267804	CR46129	Gene Expression
FBgn0015568	alpha-Est1	Gene Expression
FBgn0267105	CG45545	Gene Expression
FBgn0083963	Nlg3	Gene Expression
FBgn0265420	CR44332	Gene Expression
FBgn0051146	Nlg1	Gene Expression
FBgn0265200	CR44260	Gene Expression
FBgn0037512	CG2616	Gene Expression
FBgn0262899	CG43254	Gene Expression
FBgn0266240	CR44935	Gene Expression
FBgn0037513	pyd3	Gene Expression
FBgn0037514	CG10919	Gene Expression
FBgn0037515	Sp7	Gene Expression
FBgn0037516	CG11286	Gene Expression
FBgn0267945	CR46225	Gene Expression
FBgn0267946	CR46226	Gene Expression
FBgn0042104	CG18747	Gene Expression
FBgn0042102	CG18745	Gene Expression
FBgn0042105	CG18748	Gene Expression
FBgn0042103	CG18746	Gene Expression
FBgn0037517	CG10086	Gene Expression
FBgn0037518	CG2641	Gene Expression
FBgn0042101	CG18744	Gene Expression
FBgn0037519	CG3014	Gene Expression
FBgn0037520	CG18268	Gene Expression
FBgn0037521	CG2993	Gene Expression
FBgn0051472	sgll	Gene Expression
FBgn0051473	CG31473	Gene Expression
FBgn0085413	CG34384	Gene Expression
FBgn0037525	CG17816	Gene Expression
FBgn0267802	CR46127	Gene Expression
FBgn0037526	ArgRS-m	Gene Expression
FBgn0037529	mRpS9	Gene Expression
FBgn0260005	wtrw	Gene Expression
FBgn0037530	EMC1	Gene Expression
FBgn0024909	Taf7	Gene Expression
FBgn0004901	Prat	Gene Expression
